iter	Passed	Remaining
308	47837	106975
309	48004	106848
310	48212	106811
311	48477	106899
312	48669	106824
313	48936	106911
314	49096	106765
315	49235	106572
316	49379	106390
317	49576	106324
318	49770	106249
319	49952	106149
320	50138	106055
321	50284	105878
322	50449	105740
323	50596	105564
324	50733	105368
325	50876	105185
326	51033	105032
327	51188	104873
328	51344	104718
329	51475	104510
330	51610	104311
331	51742	104108
332	51872	103900
333	52022	103733
334	52171	103564
335	52347	103448
336	52476	103240
337	52626	103072
338	52801	102955
339	52980	102845
340	53131	102679
341	53274	102498
342	53416	102316
343	53542	102104
344	53679	101914
345	53815	101721
346	53966	101556
347	54102	101363
348	54222	101142
349	54360	100955
350	54492	100757
351	54631	100570
352	54759	100366
353	54899	100183
354	55058	100035
355	55199	99854
356	55318	99634
357	55454	99446
358	55608	99289
359	55774	99153
360	55933	99007
361	56073	98826
362	56217	98650
363	56349	98456
364	56478	98257
365	56632	98101
366	56775	97925
367	56931	97773
368	57056	97568
369	57209	97411
370	57376	97276
371	57519	97103
372	57657	96920
373	57785	96720
374	57931	96552
375	58059	96354
376	58197	96172
377	58335	95991
378	58468	95801
379	58596	95604
380	58719	95400
381	58858	95220
382	59007	95059
383	59170	94919
384	59362	94825
385	59519	94675
386	59679	94530
387	59847	94398
388	60019	94273
389	60176	94121
390	60352	94002
391	60511	93855
392	60678	93720
393	60843	93580
394	61004	93437
395	61167	93295
396	61342	93171
397	61529	93066
398	61721	92968
399	61925	92887
400	62073	92722
401	62221	92558
402	62360	92380
403	62600	92351
404	62816	92286
405	62988	92155
406	63147	92006
407	63278	91815
408	63443	91674
409	63578	91491
410	63718	91314
411	63854	91131
412	63998	90960
413	64131	90774
414	64308	90651
415	64516	90571
416	64701	90457
417	64898	90361
418	65071	90231
419	65237	90090
420	65390	89930
421	65539	89767
422	65675	89585
423	65842	89446
424	65988	89278
425	66133	89109
426	66278	88939
427	66422	88770
428	66582	88621
429	66740	88469
430	66882	88297
431	67037	88142
432	67193	87987
433	67347	87831
434	67509	87684
435	67683	87553
436	67851	87415
437	67995	87245
438	68133	87067
439	68304	86933
440	68456	86773
441	68603	86607
442	68756	86450
443	68903	86283
444	69046	86114
445	69215	85976
446	69397	85854
447	69569	85719
448	69736	85578
449	69879	85408
450	70010	85222
451	70145	85043
452	70287	84872
453	70455	84733
454	70611	84578
455	70761	84417
456	70907	84250
457	71080	84116
458	71234	83960
459	71382	83796
460	71559	83667
461	71714	83511
462	71854	83339
463	71999	83171
464	72154	83016
465	72300	82850
466	72435	82672
467	72573	82497
468	72722	82336
469	72875	82178
470	73042	82036
471	73192	81875
472	73350	81724
473	73505	81569
474	73635	81386
475	73797	81239
476	73954	81085
477	74092	80913
478	74255	80766
479	74394	80594
480	74548	80438
481	74691	80269
482	74843	80111
483	75003	79962
484	75148	79796
485	75292	79630
486	75437	79465
487	75581	79298
488	75708	79114
489	75845	78941
490	75984	78770
491	76140	78616
492	76265	78431
493	76409	78265
494	76552	78099
495	76695	77932
496	76836	77763
497	76984	77603
498	77125	77434
499	77266	77266
500	77414	77105
501	77585	76967
502	77766	76839
503	77945	76707
504	78121	76575
505	78283	76426
506	78433	76267
507	78598	76122
508	78743	75958
509	78915	75821
510	79056	75653
511	79220	75506
512	79390	75367
513	79555	75221
514	79721	75077
515	79874	74921
516	80035	74772
517	80240	74664
518	80409	74521
519	80617	74416
520	80800	74286
521	80977	74151
522	81214	74070
523	81387	73932
524	81542	73776
525	81737	73656
526	81907	73514
527	82099	73392
528	82286	73264
529	82469	73133
530	82681	73027
531	82876	72906
532	83048	72765
533	83208	72612
534	83441	72523
535	83615	72383
536	83766	72222
537	83918	72063
538	84075	71908
539	84231	71752
540	84375	71586
541	84509	71411
542	84699	71284
543	84872	71143
544	85064	71017
545	85248	70884
546	85395	70720
547	85576	70584
548	85754	70446
549	85954	70326
550	86124	70181
551	86308	70047
552	86468	69893
553	86649	69757
554	86815	69608
555	87023	69493
556	87213	69363
557	87412	69240
558	87624	69127
559	87835	69013
560	88118	68955
561	88337	68846
562	88531	68718
563	88694	68565
564	88829	68390
565	88980	68229
566	89112	68052
567	89277	67900
568	89442	67750
569	89632	67617
570	89810	67475
571	89963	67315
572	90088	67134
573	90210	66950
574	90370	66795
575	90558	66660
576	90711	66501
577	90844	66326
578	91015	66179
579	91176	66024
580	91314	65853
581	91443	65675
582	91578	65503
583	91720	65335
584	91856	65163
585	91998	64995
586	92129	64820
587	92258	64643
588	92390	64469
589	92536	64305
590	92662	64126
591	92784	63945
592	92929	63781
593	93067	63611
594	93214	63448
595	93373	63293
596	93526	63134
597	93704	62992
598	93852	62829
599	94011	62674
600	94160	62512
601	94308	62350
602	94461	62190
603	94641	62049
604	94797	61892
605	94959	61739
606	95094	61568
607	95253	61413
608	95416	61260
609	95550	61089
610	95703	60930
611	95835	60758
612	95967	60586
613	96107	60419
614	96245	60251
615	96378	60080
616	96540	59927
617	96677	59758
618	96823	59595
619	96976	59437
620	97104	59263
621	97240	59094
622	97364	58918
623	97506	58754
624	97653	58592
625	97790	58424
626	97944	58266
627	98116	58119
628	98280	57968
629	98416	57800
630	98576	57646
631	98717	57480
632	98863	57318
633	99000	57151
634	99149	56991
635	99302	56833
636	99465	56681
637	99640	56535
638	99795	56379
639	99991	56245
640	100136	56082
641	100278	55918
642	100425	55757
643	100587	55604
644	100763	55459
645	100916	55301
646	101068	55142
647	101336	55046
648	101488	54888
649	101711	54767
650	101935	54647
651	102159	54527
652	102347	54386
653	102507	54232
654	102715	54102
655	102902	53961
656	103072	53810
657	103227	53652
658	103387	53498
659	103523	53330
660	103671	53168
661	103803	52999
662	103960	52842
663	104126	52690
664	104276	52530
665	104413	52363
666	104546	52195
667	104708	52040
668	104883	51892
669	105035	51733
670	105217	51589
671	105382	51436
672	105537	51278
673	105693	51121
674	105852	50966
675	106003	50806
676	106157	50648
677	106307	50488
678	106451	50325
679	106597	50163
680	106747	50003
681	106894	49842
682	107071	49694
683	107232	49540
684	107380	49379
685	107516	49213
686	107697	49067
687	107869	48917
688	108027	48761
689	108175	48600
690	108337	48446
691	108483	48284
692	108623	48120
693	108780	47963
694	108924	47801
695	109084	47646
696	109216	47478
697	109353	47313
698	109503	47153
699	109645	46990
700	109798	46832
701	109932	46666
702	110085	46508
703	110245	46353
704	110404	46197
705	110545	46034
706	110678	45868
707	110813	45702
708	110956	45540
709	111108	45382
710	111318	45247
711	111445	45079
712	111602	44922
713	111739	44758
714	111893	44600
715	112047	44443
716	112203	44286
717	112356	44128
718	112503	43968
719	112660	43812
720	112811	43653
721	112958	43493
722	113118	43338
723	113264	43178
724	113413	43018
725	113567	42861
726	113715	42701
727	113856	42539
728	114018	42385
729	114169	42227
730	114345	42077
731	114492	41918
732	114640	41758
733	114778	41595
734	114910	41430
735	115054	41269
736	115211	41113
737	115341	40947
738	115502	40793
739	115652	40634
740	115780	40468
741	115908	40302
742	116063	40145
743	116211	39986
744	116357	39827
745	116514	39670
746	116666	39513
747	116813	39354
748	116961	39195
749	117118	39039
750	117283	38886
751	117428	38726
752	117562	38563
753	117709	38403
754	117855	38244
755	117998	38084
756	118158	37929
757	118292	37766
758	118463	37614
759	118595	37451
760	118737	37290
761	118874	37128
762	119022	36970
763	119185	36816
764	119351	36663
765	119498	36504
766	119663	36351
767	119810	36192
768	119962	36035
769	120098	35873
770	120247	35715
771	120400	35558
772	120541	35398
773	120697	35242
774	120867	35090
775	121016	34932
776	121185	34780
777	121306	34614
778	121454	34456
779	121606	34299
780	121763	34143
781	121901	33982
782	122053	33825
783	122211	33670
784	122374	33516
785	122528	33360
786	122698	33208
787	122866	33055
788	123034	32902
789	123194	32747
790	123354	32593
791	123510	32437
792	123716	32294
793	123860	32135
794	124020	31980
795	124183	31825
796	124352	31673
797	124514	31518
798	124685	31366
799	124845	31211
800	125029	31062
801	125172	30903
802	125322	30745
803	125443	30580
804	125590	30422
805	125730	30262
806	125878	30104
807	126023	29946
808	126170	29788
809	126305	29627
810	126459	29470
811	126586	29308
812	126747	29153
813	126878	28992
814	127021	28833
815	127166	28674
816	127303	28514
817	127456	28358
818	127603	28200
819	127759	28044
820	127905	27886
821	128036	27725
822	128197	27571
823	128334	27411
824	128468	27250
825	128623	27095
826	128787	26940
827	128931	26782
828	129074	26624
829	129212	26465
830	129368	26309
831	129515	26152
832	129663	25995
833	129811	25837
834	129944	25677
835	130068	25515
836	130204	25356
837	130379	25204
838	130530	25048
839	130659	24887
840	130791	24727
841	130938	24570
842	131082	24412
843	131225	24254
844	131364	24096
845	131510	23939
846	131640	23779
847	131771	23619
848	131905	23460
849	132044	23301
850	132190	23145
851	132326	22986
852	132480	22830
853	132652	22678
854	132789	22519
855	132915	22359
856	133062	22202
857	133253	22053
858	133382	21894
859	133520	21735
860	133654	21577
861	133779	21417
862	133943	21263
863	134083	21105
864	134229	20949
865	134372	20792
866	134520	20635
867	134669	20479
868	134807	20322
869	134968	20167
870	135110	20010
871	135258	19854
872	135390	19695
873	135525	19537
874	135669	19381
875	135801	19223
876	135946	19066
877	136079	18908
878	136208	18749
879	136417	18602
880	136583	18448
881	136722	18291
882	136880	18137
883	137022	17980
884	137165	17823
885	137322	17668
886	137456	17511
887	137592	17354
888	137725	17196
889	137860	17038
890	137990	16880
891	138124	16723
892	138254	16565
893	138387	16408
894	138545	16253
895	138698	16098
896	138844	15943
897	138977	15785
898	139100	15627
899	139249	15472
900	139386	15315
901	139528	15159
902	139654	15001
903	139804	14846
904	139929	14688
905	140071	14532
906	140208	14376
907	140352	14220
908	140472	14062
909	140611	13906
910	140746	13750
911	140902	13595
912	141070	13442
913	141224	13288
914	141365	13132
915	141545	12980
916	141699	12825
917	141846	12670
918	141985	12514
919	142181	12363
920	142342	12209
921	142497	12055
922	142638	11899
923	142783	11744
924	142941	11589
925	143109	11436
926	143276	11282
927	143432	11128
928	143584	10973
929	143767	10821
930	143927	10667
931	144067	10511
932	144224	10356
933	144385	10202
934	144527	10047
935	144714	9895
936	144871	9740
937	145025	9585
938	145174	9430
939	145326	9276
940	145473	9121
941	145612	8965
942	145759	8810
943	145934	8657
944	146138	8505
945	146296	8350
946	146490	8198
947	146649	8044
948	146790	7888
949	146935	7733
950	147071	7577
951	147216	7422
952	147375	7268
953	147526	7113
954	147662	6957
955	147795	6802
956	147935	6647
957	148101	6492
958	148235	6337
959	148372	6182
960	148536	6028
961	148670	5872
962	148831	5718
963	148987	5563
964	149152	5409
965	149312	5255
966	149467	5100
967	149603	4945
968	149746	4790
969	149889	4635
970	150054	4481
971	150185	4326
972	150335	4171
973	150497	4017
974	150663	3863
975	150816	3708
976	150960	3553
977	151107	3399
978	151259	3244
979	151396	3089
980	151545	2935
981	151707	2780
982	151872	2626
983	152032	2472
984	152201	2317
985	152342	2163
986	152555	2009
987	152777	1855
988	152949	1701
989	153094	1546
990	153267	1391
991	153438	1237
992	153592	1082
993	153741	928
994	153875	773
995	154096	618
996	154260	464
997	154430	309
998	154607	154
999	154745	0
