iter	RMSE
0	118.6161506
1	112.7577651
2	108.2885167
3	104.7330005
4	101.8553014
5	99.67192233
6	97.94686929
7	96.60844108
8	95.53607458
9	94.63185571
10	93.98777697
11	93.22627384
12	92.75373854
13	92.12489139
14	91.80844127
15	91.50212243
16	91.25674346
17	90.82596979
18	90.6328322
19	90.46808482
20	90.23348779
21	89.9442085
22	89.81627084
23	89.59661513
24	89.38820902
25	89.2528853
26	89.06413718
27	88.69892492
28	88.57485527
29	88.44510666
30	88.20393513
31	88.09681547
32	87.93678495
33	87.81564859
34	87.72204173
35	87.66468071
36	87.57040678
37	87.41038644
38	87.08975282
39	86.93075897
40	86.87670414
41	86.7664432
42	86.67698895
43	86.61067147
44	86.5343813
45	86.47673459
46	86.36623686
47	86.21652945
48	86.15884516
49	86.11399335
50	86.04233823
51	85.9718833
52	85.91931896
53	85.86826538
54	85.78496381
55	85.72480683
56	85.61121853
57	85.52990337
58	85.4438643
59	85.38726574
60	85.33647236
61	85.28277435
62	85.23698104
63	84.97488298
64	84.8600794
65	84.80926441
66	84.77022396
67	84.72658826
68	84.67046842
69	84.62815237
70	84.4274632
71	84.35507421
72	84.32192665
73	84.27783363
74	84.07873375
75	84.04719762
76	84.00191972
77	83.96789418
78	83.93968625
79	83.89021506
80	83.86530365
81	83.79240195
82	83.7399981
83	83.68423587
84	83.62738062
85	83.59582466
86	83.57090512
87	83.49132309
88	83.44600619
89	83.41226347
90	83.35512872
91	83.23543734
92	83.20362469
93	83.16171061
94	83.13620552
95	83.10696038
96	83.06884745
97	83.03654861
98	82.9944509
99	82.97458804
100	82.90839147
101	82.75357456
102	82.7244524
103	82.68536981
104	82.65552923
105	82.63770059
106	82.58335337
107	82.51845974
108	82.47061134
109	82.4248486
110	82.40614444
111	82.38291648
112	82.3504482
113	82.32320163
114	82.2972696
115	82.26989994
116	82.21923443
117	82.18544603
118	82.1626333
119	82.12365047
120	82.08514355
121	82.06326359
122	82.03640308
123	81.9987155
124	81.9755035
125	81.94996694
126	81.9225373
127	81.87873848
128	81.83783285
129	81.80527015
130	81.77921208
131	81.74846008
132	81.72554474
133	81.69961954
134	81.67612797
135	81.63184246
136	81.6085076
137	81.50319977
138	81.48628033
139	81.46442545
140	81.44968556
141	81.37140914
142	81.35263524
143	81.32704948
144	81.28535309
145	81.26456613
146	81.24254545
147	81.22158975
148	81.14641949
149	81.12687201
150	81.11020656
151	81.07716328
152	81.0582921
153	81.04120935
154	81.02817286
155	81.01314441
156	80.9987035
157	80.98207701
158	80.92851149
159	80.88635215
160	80.86558166
161	80.80506722
162	80.79397399
163	80.77928575
164	80.75906906
165	80.74767315
166	80.713213
167	80.69571425
168	80.6609495
169	80.64420994
170	80.6150629
171	80.59636215
172	80.57218681
173	80.55723264
174	80.53049731
175	80.52147185
176	80.50932721
177	80.48987134
178	80.4747341
179	80.45963879
180	80.43378271
181	80.38487124
182	80.36578835
183	80.32919466
184	80.30284628
185	80.167692
186	80.15046343
187	80.13650645
188	80.11634532
189	80.08818715
190	80.07247658
191	80.05792857
192	80.04488152
193	80.01817135
194	80.0034184
195	79.98772784
196	79.96338303
197	79.95372125
198	79.92022404
199	79.91185461
200	79.89943781
201	79.88028668
202	79.86349654
203	79.8455738
204	79.83486914
205	79.82191095
206	79.80064359
207	79.78611041
208	79.77311623
209	79.75792246
210	79.74458919
211	79.69546207
212	79.68403742
213	79.67718413
214	79.66314679
215	79.64918747
216	79.63242221
217	79.61388818
218	79.59987274
219	79.49269385
220	79.48480284
221	79.46154156
222	79.43367517
223	79.41724827
224	79.40886046
225	79.39854572
226	79.38660675
227	79.37622211
228	79.36403804
229	79.34291517
230	79.33086226
231	79.31887291
232	79.28943443
233	79.27772022
234	79.25961173
235	79.25144419
236	79.23666124
237	79.22774811
238	79.21007306
239	79.20512228
240	79.19063728
241	79.17598727
242	79.15920934
243	79.14853049
244	79.13631251
245	79.11832452
246	79.09402369
247	79.05873882
248	79.03107756
249	79.02071555
250	78.97119837
251	78.93605392
252	78.9228804
253	78.90993751
254	78.90187517
255	78.89111727
256	78.87990212
257	78.86611466
258	78.85216955
259	78.84179139
260	78.82504683
261	78.81093103
262	78.80185534
263	78.7924925
